"TableName","RowCount","ColumnCount","Columns"
"CntRecieved_N","0","13","code (INTEGER), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), Received (INTEGER), BRAND (TEXT), DATE (TIMESTAMP), CLIENTID (DOUBLE PRECISION), RefNo (INTEGER)"
"ContactList","0","10","code (INTEGER), name (TEXT), address (TEXT), phone (TEXT), ListSelsected (INTEGER), RelationType (TEXT), dob (TIMESTAMP), WeadingAni_Date (TIMESTAMP), Occuption (TEXT), debit (INTEGER)"
"ContactList_Temp","0","3","code (INTEGER), name (TEXT), phone (TEXT)"
"CounterSockDayend","0","19","code (INTEGER), item (TEXT), stock (TEXT), dept (TEXT), type (TEXT), unit (INTEGER), packing (TEXT), salerate (INTEGER), RECIEVED (INTEGER), OPENING (INTEGER), OOPEN (INTEGER), SALE (INTEGER), SALELOOSE (INTEGER), CLOSING (INTEGER), CLOSINGLOOSE (INTEGER), BRAND (TEXT), TOTALPACK (INTEGER), TOTALLOOSE (INTEGER), Date (TIMESTAMP)"
"Customer","0","11","name (TEXT), address (TEXT), phone (INTEGER), schedule (TEXT), card (INTEGER), discount (INTEGER), code (INTEGER), creditbal (INTEGER), debitbal (INTEGER), customer (TEXT), vendor (TEXT)"
"dateLckMaster","1","5","ID (INTEGER), datefrom (TIMESTAMP), dateto (TIMESTAMP), temppassword (TEXT), masterpassword (TEXT)"
"datelock","1","9","ID (INTEGER), datefrom (TIMESTAMP), dateto (TIMESTAMP), datefirstlock (TIMESTAMP), datesecondlock (TIMESTAMP), firstlock (INTEGER), secondlock (INTEGER), firstlockpassword (TEXT), secondlockpassword (TEXT)"
"DAYEND","1","2","ID (INTEGER), DATE (TIMESTAMP)"
"Deal_Name","1","2","code (INTEGER), DealNm (TEXT)"
"dk","0","19","BILLFINAL_BILLNO (INTEGER), BILLFINAL_TABLE_NO (TEXT), WAITER (TEXT), BILLFINAL_DATE (TIMESTAMP), PAID (INTEGER), TYPE (TEXT), CUST_NAME (TEXT), SERVICE_CHARGE (INTEGER), DISCOUNT (INTEGER), TOTAL (INTEGER), BILLDAY (INTEGER), finalbill_BILLNO (INTEGER), finalbill_TABLE_NO (TEXT), SRNO (INTEGER), ITEM (TEXT), QTY (INTEGER), RATE (INTEGER), AMT (INTEGER), finalbill_DATE (TIMESTAMP)"
"DryDates","0","2","code (INTEGER), Dates (TIMESTAMP)"
"ExciseBilNumber","0","3","ID (INTEGER), ExbilNmbr (INTEGER), ExSrNmbr (INTEGER)"
